model,repeat,fold,metric,value
B5_xgboost,2,3,weighted_f1,0.9340124089397429
B5_xgboost,2,4,weighted_f1,0.913641280634368
B5_xgboost,3,0,weighted_f1,0.9288434017333476
B5_xgboost,3,1,weighted_f1,0.9619549849058047
B5_xgboost,3,2,weighted_f1,0.892772063886403
B5_xgboost,3,3,weighted_f1,0.9397767788352872
B5_xgboost,3,4,weighted_f1,0.9670523491129243
B5_xgboost,4,0,weighted_f1,0.9353184807620678
B5_xgboost,4,1,weighted_f1,0.9195331661323987
B5_xgboost,4,2,weighted_f1,0.9399760860900757
B5_xgboost,4,3,weighted_f1,0.9510367248415634
B5_xgboost,4,4,weighted_f1,0.9670871891266628
B2_elasticnet_logreg__LATE,0,0,weighted_f1,0.8669441808262156
B2_elasticnet_logreg__LATE,0,1,weighted_f1,0.8512873819608958
B2_elasticnet_logreg__LATE,0,2,weighted_f1,0.870182977582766
B2_elasticnet_logreg__LATE,0,3,weighted_f1,0.8809679937548791
