model,metric,mean,std,n,ci95_lo,ci95_hi,nb_ci95_lo,nb_ci95_hi
B2_elasticnet_logreg,macro_f1,0.9035035338363909,0.02274345337936333,25,0.8941154976931666,0.9128915699796153,0.8782254729130915,0.9287815947596904
B2_elasticnet_logreg,weighted_f1,0.9154873323614406,0.018441700761651615,25,0.9078749724262511,0.9230996922966301,0.8949904259503292,0.9359842387725521
B2_elasticnet_logreg,balanced_accuracy,0.9176691203533309,0.02058319377989906,25,0.909172795546122,0.9261654451605399,0.8947920656824483,0.9405461750242136
B2_elasticnet_logreg,mcc,0.8689003565426952,0.028500374408900686,25,0.8571359801930171,0.8806647328923732,0.8372238037946093,0.900576909290781
B2_elasticnet_logreg,f1__BRCA_Basal,0.9842778715496854,0.014532699166145103,25,0.9782790681685695,0.9902766749308013,0.9681255991232329,1.0004301439761378
B2_elasticnet_logreg,precision__BRCA_Basal,0.9987878787878788,0.006060606060606055,25,0.996286183561663,1.0012895740140946,0.9920518582426819,1.0055238993330755
B2_elasticnet_logreg,recall__BRCA_Basal,0.9705681818181818,0.027400717227821246,25,0.9592577216433665,0.9818786419929971,0.940113835775226,1.0010225278611378
B2_elasticnet_logreg,f1__BRCA_Her2,0.866948241859967,0.0539437438303362,25,0.8446813587999147,0.8892151249200193,0.8069928243501805,0.9269036593697535
B2_elasticnet_logreg,precision__BRCA_Her2,0.8268816492133224,0.100446358957186,25,0.7854194300588208,0.8683438683678241,0.7152412075050621,0.9385220909215827
B2_elasticnet_logreg,recall__BRCA_Her2,0.9223333333333333,0.06115307902366056,25,0.8970905829661218,0.9475760837005449,0.8543651478769386,0.990301518789728
B2_elasticnet_logreg,f1__BRCA_LumA,0.9353691101060808,0.0164063538604377,25,0.9285969000792572,0.9421413201329044,0.9171343765545941,0.9536038436575676
B2_elasticnet_logreg,precision__BRCA_LumA,0.9596173576473689,0.01696558232179985,25,0.95261430945714,0.9666204058375978,0.940761073319025,0.9784736419757127
B2_elasticnet_logreg,recall__BRCA_LumA,0.9129166666666667,0.028666343667430958,25,0.9010837815741977,0.9247495517591358,0.8810556484832512,0.9447776848500822
B2_elasticnet_logreg,f1__BRCA_LumB,0.8274189118298306,0.04371962975408226,25,0.8093723356369587,0.8454654880227026,0.7788270183282677,0.8760108053313935
B2_elasticnet_logreg,precision__BRCA_LumB,0.7961136195056254,0.05655736117768662,25,0.7727678882288046,0.8194593507824462,0.7332533142712481,0.8589739247400028
B2_elasticnet_logreg,recall__BRCA_LumB,0.8648582995951418,0.058452660873636396,25,0.8407302270550561,0.8889863721352276,0.7998914760417126,0.929825123148571
B2_elasticnet_logreg,roc_auc_macro,0.9880682106394356,0.003801410446089766,25,0.9864990655290672,0.989637355749804,0.9838431581266138,0.9922932631522574
B2_elasticnet_logreg,pr_auc_macro,0.9597742640104563,0.014675299505221642,25,0.9537165981023988,0.9658319299185137,0.9434634993797315,0.9760850286411811
B2_elasticnet_logreg,roc_auc__BRCA_Basal,0.9998206201083684,0.00034439864890334777,25,0.9996784593331487,0.999962780883588,0.9994378405065345,1.0002033997102022
B2_elasticnet_logreg,pr_auc__BRCA_Basal,0.999258687533044,0.0013945265537571513,25,0.9986830552633538,0.9998343198027343,0.9977087502127505,1.0008086248533377
