patient_id,burden_universe,burden_genome,cluster,PC1
TCGA-LD-A7W6,0.23094688221709006,0.1439659197012138,A,-4.498812851926138
TCGA-LL-A440,0.03233256351039261,0.008053221288515405,A,-5.344633979924005
TCGA-LL-A50Y,0.23325635103926096,0.11035247432306255,A,-2.6572202714631135
TCGA-LL-A6FP,0.7852193995381063,0.7008636788048552,B,4.519226782230648
TCGA-LL-A6FQ,0.9722863741339491,0.9074463118580766,B,5.177936786009192
TCGA-LL-A9Q3,0.47344110854503463,0.34068627450980393,A,-1.7826404844266246
TCGA-MS-A51U,0.9376443418013857,0.9561157796451915,B,6.532562578818428
TCGA-OL-A5D8,0.3002309468822171,0.1863328664799253,A,-1.0446097335519033
TCGA-OL-A5DA,0.9491916859122402,0.9147408963585434,B,7.644243612672549
TCGA-OL-A5RU,0.18475750577367206,0.05777310924369748,A,-4.746654585976216
TCGA-OL-A5RV,0.19399538106235567,0.12324929971988796,A,-3.6105559382492087
TCGA-OL-A5RX,0.9745958429561201,0.9812091503267973,B,8.582154192172618
TCGA-OL-A66H,0.09468822170900693,0.0480859010270775,A,-3.8428822088101797
TCGA-OL-A66J,0.13625866050808313,0.13947245564892624,A,-3.95021446199107
TCGA-OL-A66K,0.9630484988452656,0.9470121381886087,B,8.53985228816897
TCGA-OL-A66L,0.21939953810623555,0.13742997198879553,A,-3.013068261169518
TCGA-OL-A66N,0.9607390300230947,0.9555322128851541,B,9.215370942266683
TCGA-OL-A6VQ,0.23787528868360278,0.15557889822595705,A,-3.584415503299926
TCGA-OL-A6VR,0.13625866050808313,0.08572595704948646,A,-4.526880961820134
TCGA-OL-A97C,0.4110854503464203,0.2755602240896359,A,-3.695822231921684
TCGA-PE-A5DE,0.6789838337182448,0.7311507936507936,B,1.5920433836413743
TCGA-PL-A8LX,0.9584295612009238,0.9086134453781513,B,5.278582266423079
TCGA-S3-AA11,0.15935334872979215,0.07341269841269842,A,-2.7576107070252904
TCGA-S3-AA12,0.930715935334873,0.928921568627451,B,6.458762953106314
TCGA-S3-AA14,0.13856812933025403,0.1311858076563959,A,-5.57884588929229
TCGA-V7-A7HQ,0.15935334872979215,0.11420401493930905,A,-3.881641784452248
TCGA-W8-A86G,0.43648960739030024,0.2711834733893557,A,-2.4083761469594385
