modality,gene,smd_B_minus_A,mwu_p,abs_smd,fdr
cnv,CA12,1.4263579302504792,2.9547183514835917e-47,1.4263579302504792,1.810461857819427e-46
cnv,RRM2,1.4188798725793115,8.275258048883694e-57,1.4188798725793115,1.1315326532105176e-55
cnv,INHBA,1.415167160249176,1.918221667221835e-53,1.415167160249176,1.6515559501266952e-52
cnv,LXN,1.4061312942074093,5.081110584568188e-63,1.4061312942074093,3.89865817627855e-61
cnv,GREB1,1.4054153255675481,8.275258048883694e-57,1.4054153255675481,1.1315326532105176e-55
cnv,CPA3,1.402368267926935,8.785140796930552e-61,1.402368267926935,2.2823795790425575e-59
cnv,SIAH2,1.3954493243730854,9.148525336682455e-64,1.3954493243730854,1.5673652515447476e-61
cnv,GMPS,1.3932209239922537,9.643144333594926e-61,1.3932209239922537,2.4089316325653477e-59
cnv,BNIP3L,1.379422394953622,1.1258799644700424e-26,1.379422394953622,3.4170983033798716e-26
cnv,RUNX1,1.378441280342419,1.3814456420529266e-55,1.378441280342419,1.495414907522293e-54
cnv,CRNKL1,1.3735849415392025,6.1910545570334005e-56,1.3735849415392025,7.180517740702132e-55
cnv,FOXA1,1.373017587556804,1.0322500768025428e-55,1.373017587556804,1.1268007140894985e-54
cnv,RIN2,1.3722821184426506,6.1910545570334005e-56,1.3722821184426506,7.180517740702132e-55
cnv,NMU,1.3698749790172466,5.582865792998267e-53,1.3698749790172466,4.589963712091614e-52
cnv,COX7A1,1.3671804237754115,2.026101166689431e-64,1.3671804237754115,8.732289092283748e-62
cnv,C1orf115,1.3659804073421715,1.8523836553771752e-35,1.3659804073421715,7.177372488446262e-35
cnv,LIN9,1.3609634627558185,1.610035682475989e-35,1.3609634627558185,6.280589644253182e-35
cnv,PCOLCE,1.3586715070670183,4.2253311581886385e-51,1.3586715070670183,2.8587006117120006e-50
cnv,GSTM1,1.357715121529328,2.6534884648446725e-45,1.357715121529328,1.5884246616742993e-44
cnv,AR,1.3568869776968526,3.343399547116128e-48,1.3568869776968526,2.0880173133191586e-47
cnv,CENPF,1.3565343108692383,1.9996193666933433e-34,1.3565343108692383,6.853576668429163e-34
cnv,CAPN8,1.3554956598223231,1.8961437348987545e-35,1.3554956598223231,7.308874515232884e-35
cnv,IL25,1.3549270990184863,1.6786288509573012e-56,1.3549270990184863,2.1805388773935343e-55
cnv,DHX9,1.3542079232602173,3.340660035933933e-36,1.3542079232602173,1.343503834884885e-35
cnv,EXO1,1.3448945389904354,1.8565028145634676e-35,1.3448945389904354,7.177372488446262e-35
cnv,LMOD1,1.3438317596559144,2.071823812807587e-34,1.3438317596559144,7.063777251540829e-34
cnv,SERPINB9,1.3437593609488054,9.096735792949733e-52,1.3437593609488054,6.387383672995515e-51
cnv,AKT1,1.342753374569149,1.1249028503435868e-50,1.342753374569149,7.493583603058048e-50
cnv,EGLN1,1.3425238892775242,6.360068804761125e-35,1.3425238892775242,2.294924827051306e-34
cnv,FOXC1,1.3417570960871803,1.7477606129971176e-52,1.3417570960871803,1.3199657187693347e-51
cnv,SLC7A2,1.341634759350688,2.9049775777521622e-25,1.341634759350688,8.77573458953502e-25
