gene,methyl_diff_BmA,cohens_d,mwu_p,fdr_bh,direction
FOXA1,-0.1624739160328981,-0.1864180604681451,0.18049480712242738,0.5042209773162003,hypo_in_B
EXT1,0.18027598805347148,0.20524023471894876,0.18399254952003652,0.5106972688601014,hyper_in_B
VIM,0.07944878238882724,0.10878304681304488,0.18674752752274115,0.5128681392312744,hyper_in_B
STC2,-0.17634281425728954,-0.19797046763458176,0.1871435704354304,0.5128681392312744,hypo_in_B
C1orf115,0.13296532961744276,0.14800777016053404,0.18833542022038952,0.512888282738545,hyper_in_B
RSPO2,0.10496339309348743,0.13328657974300542,0.19033426459171143,0.5140548074116582,hyper_in_B
NUF2,0.17798114008133784,0.18139469196164748,0.19113816164729092,0.5140548074116582,hyper_in_B
TMEM45B,-0.12433243737921773,-0.1535439769625863,0.19356484081810454,0.5166586711498806,hypo_in_B
KRT14,-0.16664688210977205,-0.18269308661804567,0.19519514870900534,0.5166586711498806,hypo_in_B
NMU,0.09712990935926182,0.10327378911136463,0.19601406862300697,0.5166586711498806,hyper_in_B
MT1E,0.14578841060065917,0.17020748024363005,0.19765945592778444,0.5166586711498806,hyper_in_B
ERBB2,-0.17883771616312077,-0.22149843910270445,0.19807237739233297,0.5166586711498806,hypo_in_B
MAPRE1,-0.14147163702293525,-0.15062301155761207,0.20391966474519752,0.5287258373333564,hypo_in_B
PPM1D,-0.07948681060786159,-0.08522298001754512,0.21075493375492593,0.5410900617830325,hypo_in_B
NDC80,-0.16579595675262457,-0.17042414383536067,0.21118757607698035,0.5410900617830325,hypo_in_B
ELMO3,-0.11928377100572608,-0.1363395006147569,0.22176431893684623,0.5528963308072394,hypo_in_B
CTF1,0.13089819754644258,0.14091416958034253,0.2222131072780208,0.5528963308072394,hyper_in_B
SIAH2,-0.1309265939556043,-0.12694841033944554,0.22356337361305179,0.5528963308072394,hypo_in_B
ADAMTS2,-0.12160494268756969,-0.12566411414989415,0.22356337361305179,0.5528963308072394,hypo_in_B
RRM2,-0.03216028353688466,-0.11130964367295247,0.2240147638529595,0.5528963308072394,hypo_in_B
GMPS,-0.13270792135216827,-0.14157970356261773,0.22446680533237917,0.5528963308072394,hypo_in_B
SSH3,-0.1309635962934319,-0.166943497035276,0.22491949835446057,0.5528963308072394,hypo_in_B
MAP2K4,-0.1114816265065923,-0.11537800799953096,0.22673679188347085,0.5528963308072394,hypo_in_B
CLDN3,-0.1524477492539512,-0.18760003243326528,0.22810661787413145,0.5528963308072394,hypo_in_B
CDKN3,-0.07994287484002617,-0.11917493440435706,0.2285645339826694,0.5528963308072394,hypo_in_B
PTEN,-0.0650612564158178,-0.079564837861135,0.23598035710388687,0.5676638590332389,hypo_in_B
NECAB3,-0.11006134851367014,-0.1143427756390331,0.24356478892269096,0.5790978576350877,hypo_in_B
GIMAP4,-0.13980261850853148,-0.14577413179030524,0.2459696693030725,0.5790978576350877,hypo_in_B
KRT10,-0.09626292300014963,-0.11226227784268598,0.2464526362086883,0.5790978576350877,hypo_in_B
LIN9,-0.10596594471752285,-0.11404772095918371,0.24693626727381257,0.5790978576350877,hypo_in_B
CCND1,-0.1588530107416569,-0.17527673202656463,0.2474205627309266,0.5790978576350877,hypo_in_B
LAPTM4B,-0.07235842067877862,-0.07431301473862591,0.25131887188423463,0.5836676764587434,hypo_in_B
MDM2,-0.13407272586766786,-0.1350515428732931,0.2532840132894736,0.5836676764587434,hypo_in_B
CD4,-0.0900656082378171,-0.10816203386447579,0.2537769662887416,0.5836676764587434,hypo_in_B
FPR3,-0.11010212671922076,-0.1258150550390062,0.25476487494388567,0.5836676764587434,hypo_in_B
CTSS,-0.10983014368750099,-0.11894483459674973,0.25849330157606876,0.5883852081351834,hypo_in_B
SEC62,-0.10934685683321568,-0.12272671366061194,0.2597445245226142,0.5883852081351834,hypo_in_B
IGF1R,-0.07083849315566583,-0.07026950565956719,0.26125147325590015,0.5883852081351834,hypo_in_B
MMP2,0.0905194935844306,0.12115250153763621,0.26225945766764525,0.5883852081351834,hyper_in_B
CALD1,-0.18941965259992588,-0.20291659899322068,0.2683637621791426,0.5989768506369523,hypo_in_B
RARRES1,0.11297876235526393,0.13513253088472357,0.27042004823090826,0.6004711840204271,hyper_in_B
CST7,-0.05804163214218855,-0.09219353818538517,0.28033473114366325,0.6078822024464469,hypo_in_B
CLEC11A,0.1054770873160751,0.11792569662316908,0.28086331033102696,0.6078822024464469,hyper_in_B
ARID1A,-0.07690837085556579,-0.10244570342080528,0.28086331033102696,0.6078822024464469,hypo_in_B
PITX2,0.08163176288060744,0.09078912419952997,0.2813925658041696,0.6078822024464469,hyper_in_B
CD93,-0.10604124524609071,-0.1391488647549301,0.28245310608708607,0.6078822024464469,hypo_in_B
FGFR4,-0.06390036526383773,-0.08019011582489868,0.2851162999991319,0.6078822024464469,hypo_in_B
GRHL2,-0.1325894121640614,-0.14941608547521515,0.2867223418427446,0.6078822024464469,hypo_in_B
S100A10,-0.19977515994942674,-0.22761411777138235,0.2867223418427446,0.6078822024464469,hypo_in_B
SLC2A3,0.12352641420893741,0.14406630604311382,0.287796423791043,0.6078822024464469,hyper_in_B
RAD51,-0.019740591527172367,-0.01886799353720737,0.287796423791043,0.6078822024464469,hypo_in_B
GSTP1,0.1201256150887479,0.1313455613023437,0.292663350155171,0.6129442471054409,hyper_in_B
HOXB13,0.11556618506003047,0.13351096747205318,0.2937523508878995,0.6129442471054409,hyper_in_B
VANGL2,0.12714624235184474,0.15621417630352413,0.29484406635381344,0.6129442471054409,hyper_in_B
CDK4,-0.10846421409077557,-0.11946625354255985,0.296486731010441,0.6129442471054409,hypo_in_B
LPL,-0.12610618496608128,-0.13992267920811802,0.2981355071355003,0.6129442471054409,hypo_in_B
RFC4,-0.16069452913341284,-0.17152328272570302,0.29868645759641577,0.6129442471054409,hypo_in_B
ELOVL2,-0.14060772366260332,-0.17579833019385982,0.3042333340676847,0.6213822342042805,hypo_in_B
SCGB3A1,0.06608803737850394,0.078683945876676,0.30647111753392997,0.6222639390088699,hyper_in_B
MUC1,-0.09694049562462742,-0.10324324530218151,0.308719781023739,0.6222639390088699,hypo_in_B
THRSP,-0.07924255339605313,-0.10507395180389206,0.30928364715327494,0.6222639390088699,hypo_in_B
LOX,-0.10854454659944554,-0.12456696902503502,0.3104134199212838,0.6222639390088699,hypo_in_B
MCM6,0.11154662971757437,0.13421667370616674,0.33239610719842516,0.6630666831736768,hyper_in_B
TUBB2A,-0.08914974650753442,-0.09356647286126883,0.33417340689713604,0.6630666831736768,hypo_in_B
TSPYL5,-0.10089912792220548,-0.1200182562950769,0.33536167116636306,0.6630666831736768,hypo_in_B
ACTR3B,-0.0956238345664574,-0.09936110339024422,0.3407424845098198,0.6706431626943272,hypo_in_B
NF1,-0.13694028908666994,-0.14294903252102406,0.3425483100709613,0.6711466889625621,hypo_in_B
RSAD1,0.06407804481719337,0.08652179668996711,0.3486118215391709,0.6779480235916904,hyper_in_B
ALDH1A3,-0.042948554273197104,-0.05815516342374097,0.3498326584520606,0.6779480235916904,hypo_in_B
PGR,-0.0912357601522456,-0.10865558605814878,0.35166899410950603,0.6779480235916904,hypo_in_B
ISM1,0.11029218449933638,0.1180537476208612,0.35228246029591304,0.6779480235916904,hyper_in_B
GMFG,0.06614202628605753,0.08262667584782575,0.3653214323375793,0.6999300008945657,hyper_in_B
ASPM,-0.10494785596323164,-0.11096470065872269,0.3735422268468592,0.7125276838092073,hypo_in_B
ESR1,-0.07990207445493844,-0.08095789267857902,0.37930007864930804,0.720337430066449,hypo_in_B
CHEK2,-0.07700158772588864,-0.0786080256276165,0.38771275165547725,0.7323668427802825,hypo_in_B
PRKAR1A,-0.1074689149880338,-0.10591152388447672,0.3890170296523441,0.7323668427802825,hypo_in_B
SFRP4,0.10927775430434868,0.12768185401854576,0.39097844663150716,0.732873019010574,hyper_in_B
DHX9,-0.07121259584051082,-0.09080818393248999,0.3936029924514074,0.7346124816011181,hypo_in_B
SQLE,0.06942985906011373,0.07107119963289539,0.39888398927800517,0.737409821884706,hyper_in_B
CHI3L1,-0.0204216578492456,-0.0380048992971811,0.39888398927800517,0.737409821884706,hypo_in_B
GIMAP7,-0.12780594580413712,-0.13079973339375475,0.40021087330925154,0.737409821884706,hypo_in_B
CHCHD2,-0.010466728916340498,-0.011149371884163102,0.40554488374596565,0.7409322137637262,hypo_in_B
SMAD3,-0.10996441954792596,-0.15123277095840873,0.40554488374596565,0.7409322137637262,hypo_in_B
ESM1,-0.16987710376859555,-0.17954359049369137,0.40890010464960214,0.7419358030024666,hypo_in_B
GOLPH3L,-0.07301176685468305,-0.1027593402120708,0.40957312607501817,0.7419358030024666,hypo_in_B
EFR3A,-0.10667780057250392,-0.10832614653840052,0.41227179254979107,0.7419358030024666,hypo_in_B
