tf,target,edge_sign,obs_coexpr
AR,NF1,1,0.21714065528661797
FOXA1,NF1,1,0.2590512519117641
RUNX1,NF1,-1,0.2337634143866635
TP53,NF1,1,0.10862746712478269
TWIST1,NF1,-1,-0.22169803507016966
SMAD3,NOTCH3,1,0.10595602147252238
E2F1,NUSAP1,1,0.07982962083311619
E2F4,NUSAP1,1,0.16567178680306321
SMAD4,PAK1,1,-0.005061846209628915
HIF1A,PAK1,1,-0.256871626520723
ESR1,PGR,1,0.4748760896664189
NCOR1,PGR,1,0.2797212841154152
TP53,PIK3CA,-1,-0.055236457100332426
HIF1A,PIK3CA,1,0.10246427203468798
AR,PIK3R1,1,0.23110056935508191
ESR1,PIK3R1,1,0.08991889168792619
MYC,PIK3R1,1,-0.21854750991927438
TP53,PIK3R1,1,-0.06285016531058447
HIF1A,PIK3R1,1,-0.15362278910793278
AR,PLAU,-1,-0.21107910464659144
E2F1,PLAU,1,-0.00414631924512763
FOXM1,PLAU,1,0.11319095120329047
MYC,PLAU,1,0.015317077347236667
SMAD3,PLAU,1,-0.2552390664437156
TP53,PLAU,-1,-0.010105190726330985
ZEB1,PLAU,1,0.20153177539440414
HIF1A,PLAU,1,0.2976061166963845
E2F1,PLK1,1,0.029650611565128694
FOXM1,PLK1,1,0.7651720179754898
MYBL2,PLK1,1,0.04747094861328624
TP53,PLK1,-1,-0.043097574031775276
E2F4,PLK1,-1,0.35419994172482183
ESR1,PPM1D,1,-0.03773498399800208
TP53,PPM1D,1,-0.0033387184552444186
DNMT3B,PRC1,1,0.5084073298788545
TP53,PRC1,-1,0.0009596318203713717
E2F4,PRC1,1,0.21479548089310965
AR,PTEN,1,0.20077308416536524
EZH2,PTEN,1,-0.3331718822826565
MYC,PTEN,1,-0.14669423455943914
RUNX1,PTEN,1,0.27839196695342994
SMAD4,PTEN,1,0.22942205658482168
TBX3,PTEN,-1,0.24602324599250186
TP53,PTEN,1,0.01853498333808756
HIF1A,PTEN,1,-0.20025868092971288
E2F1,RACGAP1,1,0.07060523917649686
E2F1,RAD51,1,0.086630084093229
MYC,RAD51,1,-0.20889789616067422
TP53,RAD51,1,-0.18195094103044385
E2F4,RAD51,-1,0.13810513646916525
EP300,RAD51,1,-0.29901883501139226
DNMT3A,RASSF1,1,0.02032924140872564
DNMT3B,RASSF1,1,0.051872744989582886
E2F1,RASSF1,1,0.031093955896125902
EZH2,RASSF1,1,0.0553484847418271
MYC,RASSF1,1,-0.07897779111145078
TP53,RASSF1,-1,-0.025270568776150908
DNMT3A,RB1,1,0.057111358152225046
E2F1,RB1,1,-0.056404935530906884
MYBL2,RB1,1,-0.04185730353170748
NCOR1,RB1,1,0.2883805296918085
PGR,RB1,1,0.15408382726089723
TP53,RB1,-1,0.149416382420481
E2F4,RB1,-1,-0.1291961870188108
E2F4,RFC4,1,0.1362628079825724
E2F1,RRM2,1,-0.03220427792807089
E2F4,RRM2,-1,0.14711685411380468
CBFB,RUNX1,1,-0.31596368561109295
TP53,RUNX1,1,0.012390743175619988
TRPS1,RUNX1,-1,-0.0995037012394908
AR,SERPINE1,1,-0.1677158315043958
E2F1,SERPINE1,-1,-0.10620167222523777
ESR1,SERPINE1,1,-0.19459332553914174
MYC,SERPINE1,1,0.3008258333952419
PGR,SERPINE1,1,-0.11024136080688521
SMAD3,SERPINE1,1,-0.18939010643878443
SMAD4,SERPINE1,1,0.02092111003806751
TP53,SERPINE1,1,0.042287486560596305
ZEB1,SERPINE1,-1,0.29891692321511365
HIF1A,SERPINE1,1,0.3348856701031047
DNMT3A,SFRP1,1,0.051688891429830186
EZH2,SFRP1,1,-0.06545788472656618
MYC,SFRP1,-1,0.3521690664134536
RUNX1,SFRP1,1,0.046367295164406346
ESR1,SIAH2,1,0.5401959520703693
NCOR1,SIAH2,1,0.23811115076207232
AR,SLC39A6,1,0.28845387351266283
AR,SMAD3,-1,0.22570227174762056
ARID1A,SMAD3,1,-0.03212252181019113
TP53,SMAD3,1,-0.057971472742567746
HIF1A,SMAD4,1,0.12871897916179292
ESR1,STC2,1,0.5579774800523903
HIF1A,STC2,1,-0.34329504152411094
