tf,target,edge_sign,is_edge,null,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
SMAD3,COL1A1,1,1,permute_graph,0.0011633564382725109,0.0010990191501010797,0.001228500787926582,0.05481283422459893,748,0.1929311385321241
SMAD3,CLDN3,-1,1,permute_graph,6.835840172640842e-06,-5.838802576549766e-05,7.498605894182136e-05,0.5200534759358288,748,-0.1769537901862693
SMAD3,ID1,1,1,permute_graph,0.0001652947085396572,9.436119434862817e-05,0.0002369568676763727,0.4411764705882353,748,0.08293634473781118
SMAD3,CCND2,1,1,permute_graph,0.0007089615599443187,0.0006583877493575066,0.0007677144265659777,0.13903743315508021,748,0.23497022607017193
SMAD3,SFRP4,0,0,permute_graph,-0.0001263416133598552,-0.00018280437694171057,-7.266194805641521e-05,0.6203208556149733,748,0.23493325188786426
SMAD3,MKI67,0,0,permute_graph,0.0011732607776524888,0.0011068534112428324,0.0012374144501933488,0.07887700534759358,748,0.02327693215046918
SMAD3,TSPYL5,0,0,permute_graph,0.00020007871729678798,0.00013904539415232782,0.00026233093242398624,0.42780748663101603,748,-0.02924500117549657
SMAD3,PTN,0,0,permute_graph,0.0016571006799488601,0.001582087326482347,0.0017341655429470115,0.034759358288770054,748,0.23827436172278388
SMAD3,HOXB2,0,0,permute_graph,0.003560508222156495,0.0034550962561885486,0.003654383832178745,0.001336898395721925,748,0.11910758919243655
SMAD3,CALD1,0,0,permute_graph,-0.00021031048122308724,-0.00028423038435811197,-0.00014169607054896255,0.5561497326203209,748,0.27178937005599346
SMAD3,ENPP2,0,0,permute_graph,0.001628901627754757,0.0015569370244600633,0.0017095561346187349,0.02540106951871658,748,0.27158924885966046
SMAD3,SCUBE2,0,0,permute_graph,0.005269350987234868,0.005149872928926076,0.005380134968888704,0.0,748,0.4009932764908688
SMAD3,CLEC2B,0,0,permute_graph,-0.0001966704347597534,-0.0002532737535995599,-0.00013954297847877263,0.6564171122994652,748,0.07947811895433055
SMAD3,CHI3L1,0,0,permute_graph,-0.0002387280521562405,-0.00032176305435422623,-0.00015506357351029995,0.5922459893048129,748,-0.08488234224604665
SMAD3,MAP3K1,0,0,permute_graph,0.004893517208247446,0.004803544574426718,0.004977204830145237,0.0,748,0.4534281751455403
SMAD3,RIN2,0,0,permute_graph,0.0017455173155405753,0.001655308145664692,0.0018301886734156314,0.07620320855614973,748,0.3044511782663951
SMAD3,SFRP1,0,0,permute_graph,0.0013363229094235866,0.0012408218239158054,0.001434423322086936,0.0962566844919786,748,0.06419116653087245
SMAD3,RSL1D1,0,0,permute_graph,0.0025521922100803503,0.0024648476211410575,0.002639034206372206,0.02540106951871658,748,0.1447598437272361
SMAD3,RHOD,0,0,permute_graph,-0.0003239078748117929,-0.00039196198760928675,-0.0002593576506281589,0.6590909090909091,748,0.019147551129243705
SMAD3,RRM2,0,0,permute_graph,0.0019766719286776614,0.0019044184519188426,0.0020505291893847914,0.0066844919786096255,748,-0.10191997078079064
SMAD3,SLC2A4RG,0,0,permute_graph,-0.0002729502355483981,-0.0003413033174017169,-0.00020584203593379777,0.6550802139037433,748,-0.01958232392669426
SMAD3,TOP2A,0,0,permute_graph,0.002270567123097518,0.0021988993765057496,0.0023418542416776657,0.008021390374331552,748,0.08221093967267225
SMAD3,FPR3,0,0,permute_graph,-0.0009034095254416253,-0.0009653823950088035,-0.0008382602363456284,0.8542780748663101,748,0.03565237295540587
SMAD3,OLR1,0,0,permute_graph,0.001128354550583318,0.0010686525193797586,0.0011908440609595776,0.07887700534759358,748,0.08281986076460458
SMAD3,DNMT3A,0,0,permute_graph,0.0018809583213233423,0.0018067952867258277,0.001955325975370843,0.03342245989304813,748,0.13835413577913272
SMAD3,RAD51,0,0,permute_graph,0.00041595221531980867,0.0003465065896243805,0.00048588497488246676,0.3382352941176471,748,-0.1376024096328541
SMAD3,INHBA,0,0,permute_graph,-0.00025306215577006793,-0.00032383703211871903,-0.0001764887910630501,0.606951871657754,748,0.20623629726803877
SMAD3,AKT1,0,0,permute_graph,0.0013169568044062096,0.0012383717772677049,0.0013950999487550857,0.11898395721925134,748,0.24003125730541164
SMAD3,NDRG1,0,0,permute_graph,-0.0006026062701036905,-0.0006573495462805759,-0.0005501716683034363,0.8342245989304813,748,-0.017690805632015222
SMAD3,RASSF1,0,0,permute_graph,0.0006372687262408233,0.0005522763131766578,0.0007206621577148951,0.3155080213903743,748,0.08022887119040838
SMAD4,AGR2,1,1,permute_graph,-0.001416454716866134,-0.0014765892990320276,-0.0013540055429722283,0.9692513368983957,748,0.0903599697574414
SMAD4,AR,-1,1,permute_graph,-0.00046185943009182507,-0.0005395309677793287,-0.0003794679643576729,0.6270053475935828,748,0.24354552848730304
SMAD4,BBC3,1,1,permute_graph,-0.0025578331891214882,-0.0026269329041981354,-0.0024838532885686367,0.9933155080213903,748,-0.14499559743433296
SMAD4,BCL2,1,1,permute_graph,0.005013595520536982,0.004898773627756198,0.005128393733503344,0.0,748,0.5668923535024896
SMAD4,CCND1,1,1,permute_graph,0.0029617262816591175,0.0028728512837063887,0.003057792149213352,0.0,748,0.3385493477056764
SMAD4,CDH1,-1,1,permute_graph,0.001126462936321681,0.0010650570257757777,0.0011874975388051618,0.05614973262032086,748,0.16038881298875068
SMAD4,CDH3,1,1,permute_graph,0.0006989324205586562,0.0006396591916423865,0.0007523832429360622,0.17780748663101603,748,0.06735508943060455
SMAD4,EGFR,-1,1,permute_graph,0.00039172249285042735,0.0003384929843429153,0.00044519770284533617,0.29812834224598933,748,0.2876682728524928
SMAD4,ESR1,1,1,permute_graph,0.0015899575582278796,0.0015124203411363399,0.0016659167749618815,0.08021390374331551,748,0.24246865905801843
SMAD4,MDM2,1,1,permute_graph,0.007492240482514622,0.007329008932451182,0.0076516175389452976,0.0,748,0.47197399254062
SMAD4,MMP2,1,1,permute_graph,-0.0017439904895821948,-0.0018126359084982553,-0.0016735042271247068,0.9919786096256684,748,0.08324666180229412
