gene,arrow,injected_value,mean_pred,sem_pred
ASPM,methy->rna,-1.0,0.020280132070183754,0.03586163356216599
ASPM,methy->rna,-0.5,-0.02203190140426159,0.03554598353768971
ASPM,methy->rna,0.0,-0.04835202172398567,0.035199229663691725
ASPM,methy->rna,0.5,-0.0807216465473175,0.034973827005295444
ASPM,methy->rna,1.0,-0.09823918342590332,0.03535076939692057
ASPM,methy->rna,1.5,-0.11506622284650803,0.035659428029211765
ASPM,methy->rna,2.0,-0.1291837841272354,0.035864152904237674
ATM,methy->rna,-2.0,0.15100619196891785,0.030123176006045443
ATM,methy->rna,-1.5,0.12791265547275543,0.030149110409724553
ATM,methy->rna,-1.0,0.09060558676719666,0.030149528847162065
ATM,methy->rna,-0.5,0.0279068723320961,0.030037418124972078
ATM,methy->rna,0.0,-0.011428643949329853,0.02981303976655304
ATM,methy->rna,0.5,-0.03332893177866936,0.029918719192502937
ATM,methy->rna,1.0,-0.05413099750876427,0.03041420142319649
ATM,methy->rna,1.5,-0.07145769149065018,0.030766641251748997
ATM,methy->rna,2.0,-0.0870017409324646,0.030996600955363177
AURKA,methy->rna,-2.0,0.06863958388566971,0.037054949573738116
AURKA,methy->rna,-1.5,0.05289769917726517,0.036996900096729984
AURKA,methy->rna,-1.0,0.026486853137612343,0.03681097003660564
AURKA,methy->rna,-0.5,-0.019797174260020256,0.03619999907315886
AURKA,methy->rna,0.0,-0.04785758629441261,0.035644750028474045
AURKA,methy->rna,0.5,-0.05978894233703613,0.03500971237428538
AURKA,methy->rna,1.0,-0.0767909586429596,0.03540480666912423
AURKA,methy->rna,1.5,-0.1004626601934433,0.03561854102522657
AURKA,methy->rna,2.0,-0.12135674804449081,0.03569312096037807
AURKB,methy->rna,-2.0,0.06881335377693176,0.03357877402352463
AURKB,methy->rna,-1.5,0.05974417179822922,0.033517771511475725
AURKB,methy->rna,-1.0,0.04483087733387947,0.033364239841695384
AURKB,methy->rna,-0.5,0.020387956872582436,0.032856971623178584
AURKB,methy->rna,0.0,-0.015599934384226799,0.03172780076316001
AURKB,methy->rna,0.5,-0.05443790182471275,0.031393406049100195
AURKB,methy->rna,1.0,-0.08425884693861008,0.03136489128122309
AURKB,methy->rna,1.5,-0.11063597351312637,0.03153234907197062
AURKB,methy->rna,2.0,-0.13022635877132416,0.03167146644377334
AZGP1,methy->rna,-2.0,0.3606218993663788,0.026299793274609996
AZGP1,methy->rna,-1.5,0.3264545202255249,0.02635133953644347
AZGP1,methy->rna,-1.0,0.2668604254722595,0.026257265211299563
AZGP1,methy->rna,-0.5,0.1571311205625534,0.025584461399013807
AZGP1,methy->rna,0.0,0.0285243708640337,0.024100952486442347
AZGP1,methy->rna,0.5,-0.01419403962790966,0.02489574606729434
AZGP1,methy->rna,1.0,-0.12016420066356659,0.025372954350521563
AZGP1,methy->rna,1.5,-0.20705044269561768,0.025588083498082267
AZGP1,methy->rna,2.0,-0.27109095454216003,0.02566801376609362
BAG1,methy->rna,-2.0,0.24384716153144836,0.020624628739636407
BAG1,methy->rna,-1.5,0.2151695340871811,0.02058995509572593
BAG1,methy->rna,-1.0,0.16790542006492615,0.020474034849365264
BAG1,methy->rna,-0.5,0.09181232005357742,0.020109205349811435
BAG1,methy->rna,0.0,0.04983390122652054,0.01919921289130615
BAG1,methy->rna,0.5,-0.01580634154379368,0.019125495983369517
BAG1,methy->rna,1.0,-0.08794701099395752,0.019573764523197167
BAG1,methy->rna,1.5,-0.1467507928609848,0.019751864136899742
BAG1,methy->rna,2.0,-0.19022512435913086,0.01980368935702489
BBC3,methy->rna,-2.0,0.3054876923561096,0.027036628911643313
BBC3,methy->rna,-1.5,0.27534162998199463,0.027291245913007533
BBC3,methy->rna,-1.0,0.2233690321445465,0.027587750245356
BBC3,methy->rna,-0.5,0.1321108043193817,0.027638773460392584
BBC3,methy->rna,0.0,0.05644731968641281,0.026691441998674344
BBC3,methy->rna,0.5,0.04417072981595993,0.02831431237155374
BBC3,methy->rna,1.0,-0.007408662233501673,0.028601412758366463
BBC3,methy->rna,1.5,-0.056248292326927185,0.028644936789952644
BBC3,methy->rna,2.0,-0.0968104898929596,0.028618736504151778
BCL2,methy->rna,-2.0,0.1650063395500183,0.03085217029984872
BCL2,methy->rna,-1.5,0.14672668278217316,0.030733802630350943
BCL2,methy->rna,-1.0,0.11725956201553345,0.030497738534744728
BCL2,methy->rna,-0.5,0.06778911501169205,0.02993697134635273
BCL2,methy->rna,0.0,0.026097042486071587,0.02819309627637457
BCL2,methy->rna,0.5,-0.020243991166353226,0.028586331575722813
BCL2,methy->rna,1.0,-0.06031179055571556,0.028705065377978414
BCL2,methy->rna,1.5,-0.08842791616916656,0.028692603788042517
BCL2,methy->rna,2.0,-0.10869554430246353,0.028652017535965538
BIRC5,methy->rna,-2.0,0.10725411027669907,0.036198558515105755
BIRC5,methy->rna,-1.5,0.09383398294448853,0.03620345989946494
BIRC5,methy->rna,-1.0,0.07096024602651596,0.03617723128196258
BIRC5,methy->rna,-0.5,0.029414907097816467,0.03601247589966565
BIRC5,methy->rna,0.0,0.010733604431152344,0.03610561745802177
BIRC5,methy->rna,0.5,-0.0357871949672699,0.03512236793688879
BIRC5,methy->rna,1.0,-0.07508175075054169,0.03548445144075895
BIRC5,methy->rna,1.5,-0.10945829004049301,0.03566704489819147
BIRC5,methy->rna,2.0,-0.13601750135421753,0.035727071056219514
