gene,arrow,slope,slope_lo,slope_hi,frac_patients_neg,rho,rho_lo,rho_hi,Delta,n,rho_obs,rho_minus_obs,curated_flag
DLGAP5,methy->rna,-0.050599378456383175,-0.05362881057424767,-0.04750302026884169,0.8542780748663101,-0.07334972946482461,-0.08146727447942896,-0.0669686861074552,-0.15483486652374268,748,0.016460349583937942,-0.08981007904876255,0
DNMT1,methy->rna,-0.05451726165331182,-0.0570675602205199,-0.05175322656273911,0.9344919786096256,-0.1032892470232729,-0.11393159058671676,-0.09569764877743192,-0.16621455550193787,748,-0.0448396048060588,-0.0584496422172141,0
DNMT3A,methy->rna,-0.11325688225232936,-0.11768656819720782,-0.10896938784370439,0.9799465240641712,-0.25130681691098616,-0.2719872763951146,-0.23564902240604804,-0.3454771041870117,748,-0.1786471774638244,-0.07265963944716175,0
DNMT3B,methy->rna,-0.06579497835720075,-0.0687300773884459,-0.06270074231808245,0.9411764705882353,-0.11905678487297262,-0.12900224715780614,-0.11058181690873085,-0.20121799409389496,748,-0.1872464803470355,0.06818969547406288,0
E2F1,methy->rna,-0.029638344805385526,-0.032728230899210016,-0.026596389904171278,0.7593582887700535,-0.04932653925544538,-0.05644029841684601,-0.04397527115730183,-0.08918269723653793,748,-0.024844786570082475,-0.024481752685362908,0
EGFR,methy->rna,-0.10564957055787816,-0.10910425254633405,-0.10215379413681411,0.9866310160427807,-0.1671391635623525,-0.17935872745394874,-0.15856984875945587,-0.324217826128006,748,-0.2775582189790141,0.11041905541666161,0
EGLN1,methy->rna,-0.06463768700438215,-0.06736269010951544,-0.06201197525370402,0.9759358288770054,-0.1423632069174728,-0.15346447649318457,-0.13367326669756222,-0.19724152982234955,748,0.0804833487719783,-0.2228465556894511,0
ERBB2,methy->rna,-0.180434561425566,-0.1860079936524876,-0.17475241056265026,0.9919786096256684,-0.3542422684494284,-0.3787746289561796,-0.33108482520620414,-0.5560126900672913,748,-0.5017091706322516,0.1474669021828232,0
ERBB3,methy->rna,-0.14037435470188764,-0.14396293080706624,-0.13693382693384587,1.0,-0.260200017559706,-0.2782061994634972,-0.24600546990713942,-0.43173813819885254,748,-0.3930625653338384,0.13286254777413237,0
ESM1,methy->rna,-0.14572965046457295,-0.15014393845473564,-0.1415556625423008,1.0,-0.37580561641362076,-0.39714603286721584,-0.3574271586625099,-0.4470357894897461,748,-0.1976432936857264,-0.17816232272789437,0
ESR1,methy->rna,-0.13476767916898055,-0.1401325267574942,-0.12956226409958682,0.9973262032085561,-0.28181268552418864,-0.3062044790280771,-0.2606614009504996,-0.4134436547756195,748,-0.5714250732895957,0.28961238776540704,0
EXO1,methy->rna,-0.04549700138482818,-0.0479940334561388,-0.043028940831825895,0.9211229946524064,-0.06493534131875692,-0.0720699172094074,-0.06010130253772062,-0.13898904621601105,748,-0.26627809892717097,0.20134275760841405,0
EXT1,methy->rna,-0.15224091699853234,-0.15743991182733236,-0.14696422456076294,0.9986631016042781,-0.2921288243280824,-0.30995859408113535,-0.27572071560243094,-0.4670552611351013,748,-0.32551267018768687,0.033383845859604466,0
EZH2,methy->rna,-0.028946596793058447,-0.031551636279671225,-0.026513739695857404,0.7954545454545454,-0.05180432142395859,-0.05856803009381393,-0.04653169339578356,-0.0879717767238617,748,-0.06073093269818598,0.008926611274227392,0
F12,methy->rna,-0.10028242124107613,-0.10465144836886577,-0.09580621481253354,0.9585561497326203,-0.24044046114391543,-0.2598275718133638,-0.2234777993181777,-0.30699342489242554,748,0.03144153117327839,-0.27188199231719384,0
FGF19,methy->rna,-0.09229474679136121,-0.09405322899277767,-0.09049628784334175,1.0,-0.4199579373726065,-0.43983790259067485,-0.40284379852108143,-0.282881498336792,748,0.1878340479634411,-0.6077919853360476,0
FGF3,methy->rna,-0.10154282063479848,-0.10429179151818581,-0.09881296707361123,0.9986631016042781,-0.4619200182663922,-0.4845850717532753,-0.4413477544852096,-0.3112420439720154,748,0.084514971755062,-0.5464349900214541,0
FGF4,methy->rna,-0.09459238175934416,-0.09681198386922117,-0.0923678519571735,0.9986631016042781,-0.4643822584145867,-0.4871107992357742,-0.4443924043770175,-0.2896113097667694,748,-0.023291882986274232,-0.4410903754283125,0
FGFR1,methy->rna,-0.25946675686397275,-0.26519679566389703,-0.2530753918836344,1.0,-0.5369357037967469,-0.5596158554157616,-0.5153224242234522,-0.7975587844848633,748,-0.38531579320573667,-0.15161991059101027,0
FGFR2,methy->rna,-0.3291245542150804,-0.33570072114608,-0.32292782659931674,1.0,-0.625731088564099,-0.6472844198781664,-0.6064035553967546,-1.0148720741271973,748,-0.5019496246769275,-0.12378146388717148,0
FGFR4,methy->rna,-0.19035561649853439,-0.19541430633718068,-0.1854685246087146,1.0,-0.5865877668726537,-0.6101287747040176,-0.5629745361199081,-0.5839515924453735,748,-0.18804118602768444,-0.39854658084496924,0
FLT1,methy->rna,-0.08214450842848649,-0.08452460256497829,-0.07977125334390106,0.9919786096256684,-0.1275573794006522,-0.13723624670032086,-0.1210157148187534,-0.2516862750053406,748,-0.0010531692178565543,-0.12650421018279565,0
FOXA1,methy->rna,-0.11834531758908587,-0.12188306124019312,-0.11484142199992252,1.0,-0.30811537138430656,-0.33516598234321066,-0.2838482050107543,-0.36244356632232666,748,-0.4203990877656402,0.11228371638133366,0
FOXC1,methy->rna,-0.10782460714657185,-0.11207348818603344,-0.10399816713120114,0.9959893048128342,-0.18927068322215237,-0.20122835436420194,-0.18002224120752452,-0.3304968476295471,748,-0.4828988310079408,0.2936281477857884,0
FOXM1,methy->rna,-0.020292169394290304,-0.02280334492880455,-0.017678369457337306,0.7152406417112299,-0.030189536785536864,-0.03529540432034663,-0.02634088155543554,-0.061192356050014496,748,-0.022153785975268285,-0.00803575081026858,0
GABRP,methy->rna,-0.13374531522232194,-0.13758401729210917,-0.1296921830559795,0.9946524064171123,-0.2272729693193437,-0.240514163056359,-0.2170854247203716,-0.410446435213089,748,-0.43523790968790027,0.20796494036855656,0
GATA3,methy->rna,-0.08882403832954916,-0.09139764661431715,-0.08580330879377379,0.9893048128342246,-0.18907318120798486,-0.2087555910235163,-0.17362180485116938,-0.2718575894832611,748,-0.21569711300597458,0.02662393179798972,0
GMPS,methy->rna,-0.08751518977353592,-0.09142716788418392,-0.0834580870811228,0.963903743315508,-0.146279232427682,-0.15980817330407343,-0.13588905737649778,-0.267642617225647,748,-0.1726087874097562,0.026329554982074177,0
GPR160,methy->rna,-0.12723939923802804,-0.13200192329567378,-0.12240608340782719,0.9866310160427807,-0.2925297491280559,-0.31804798836901527,-0.27136716944916106,-0.3908020257949829,748,-0.47523511149758857,0.18270536236953266,0
GPR18,methy->rna,-0.06314643904244703,-0.0661172187919826,-0.0603457011172939,0.9732620320855615,-0.11420367942487089,-0.12360062868959022,-0.10770307291520058,-0.19284486770629883,748,-0.48702326177299454,0.3728195823481236,0
GRB7,methy->rna,-0.13354113404576812,-0.13871275641556388,-0.1284231284584399,0.9799465240641712,-0.28148689527193865,-0.3053186852855939,-0.2622789001296879,-0.4106239676475525,748,-0.3903596221631419,0.10887272689120325,0
GREB1,methy->rna,-0.13276835778821924,-0.13773761500858758,-0.12812507843940601,0.9973262032085561,-0.279349498051355,-0.2998295224520135,-0.26204548254020116,-0.4075896739959717,748,-0.5084179417024817,0.22906844365112666,0
GSTM1,methy->rna,-0.32502215817942554,-0.33204511610055454,-0.31808695570867074,1.0,-0.8492465017365085,-0.8609448480012347,-0.8378040120746703,-1.00307297706604,748,-0.4914487061526505,-0.357797795583858,0
GSTP1,methy->rna,-0.21984276546571244,-0.2258306365965454,-0.21379113648672599,1.0,-0.36265180156295346,-0.3793596804237598,-0.3482277638230997,-0.674350380897522,748,-0.21281676831197618,-0.14983503325097727,1
HOXB13,methy->rna,-0.12237876332526838,-0.12555770969164637,-0.11916784820668239,0.9986631016042781,-0.3860782967809525,-0.4100188606488959,-0.36569855283194247,-0.37580806016921997,748,-0.055252648800117155,-0.33082564798083536,0
HTATIP2,methy->rna,-0.12539113479585065,-0.12915332286436035,-0.12157215960482974,1.0,-0.2979948547555516,-0.31829065819688845,-0.2809189291958427,-0.3833126723766327,748,-0.29152518199856536,-0.006469672756986233,0
IGF1R,methy->rna,-0.10003560205789551,-0.10231591987469459,-0.09781360576396086,1.0,-0.1823464783504558,-0.19745868484615112,-0.1710065056343965,-0.3070107400417328,748,-0.14664083893171767,-0.03570563941873814,0
IGFBP3,methy->rna,-0.1139906184013631,-0.11681305355402254,-0.1109134865008459,1.0,-0.22110524616523752,-0.23586084727435386,-0.20997762557313554,-0.34874266386032104,748,-0.21618639369025192,-0.004918852474985608,0
IGFBP5,methy->rna,-0.24081003931778486,-0.2471442934549395,-0.235213380992717,1.0,-0.5377493061210229,-0.5635753068964675,-0.5146634532858833,-0.7394570112228394,748,-0.3729418434108552,-0.16480746271016772,0
IL17RB,methy->rna,-0.1372673802838101,-0.1404737596508581,-0.1340037451972131,1.0,-0.3293404362766448,-0.34833060797253795,-0.313225120299716,-0.4207530617713928,748,-0.2448601514287016,-0.08448028484794318,0
IL25,methy->rna,-0.07522346954896494,-0.0781540128439422,-0.07248658863047334,0.9572192513368984,-0.24842063497543823,-0.2650732713318884,-0.231378148076181,-0.22969572246074677,748,0.19433734408353603,-0.4427579790589743,0
IL6ST,methy->rna,-0.158808305446696,-0.16272340130828714,-0.15476777712828624,1.0,-0.28073208617038015,-0.300112106225157,-0.2645493923738914,-0.4893268346786499,748,-0.6367855348627255,0.35605344869234534,0
JUP,methy->rna,-0.18269775906422486,-0.1879018227660235,-0.17684389903036102,0.9986631016042781,-0.35290716488292345,-0.37500237154366933,-0.33369093787076476,-0.5624871253967285,748,-0.5032703441798867,0.15036317929696325,0
KIF23,methy->rna,-0.039902426996193625,-0.04281851385615902,-0.0368421770619951,0.8128342245989305,-0.054253757916569174,-0.061189263717725095,-0.049372263362622466,-0.12183665484189987,748,0.13485902180836626,-0.18911277972493543,0
KIF2C,methy->rna,-0.04698351123947119,-0.05007960778858937,-0.04375776500494465,0.8489304812834224,-0.06446715659452841,-0.07267707630744444,-0.058875883162826256,-0.14373022317886353,748,-0.07571991341704609,0.011252756822517682,0
KRT5,methy->rna,-0.09476566946817937,-0.09873538162016725,-0.09092700397552704,0.9652406417112299,-0.12850742582173663,-0.13753532879490218,-0.12186705058029229,-0.28995126485824585,748,-0.14761125709150905,0.019103831269772414,0
LIN9,methy->rna,-0.029348247056206894,-0.032362248348895485,-0.02599157673306556,0.7994652406417112,-0.06124998892766652,-0.06878241348838512,-0.05458172467105564,-0.08872819691896439,748,-0.23968750952266196,0.17843752059499546,0
LMO1,methy->rna,-0.10276448220461143,-0.10546002749160867,-0.0998119981319012,1.0,-0.41138561274152763,-0.4358568299044421,-0.38870050319476435,-0.31433242559432983,748,-0.10250851129400107,-0.30887710144752656,0
LOX,methy->rna,-0.05904212901509847,-0.06165595747670014,-0.056453447827471484,0.9625668449197861,-0.07483101678788967,-0.08181670998651014,-0.07059041094421582,-0.18096546828746796,748,-0.11906860873499502,0.044237591947105345,0
MAP2K4,methy->rna,-0.10769825787370636,-0.1106466950708554,-0.10504179254293969,1.0,-0.18824391844883165,-0.2024990330049708,-0.1779657286371253,-0.3297884464263916,748,-0.1139576117884072,-0.07428630666042445,0
MAP3K1,methy->rna,-0.12208112914483735,-0.12551335063351046,-0.11881204290667349,1.0,-0.19528989871294386,-0.20947334233589116,-0.18464569682811396,-0.37458890676498413,748,-0.12402078361940788,-0.07126911509353598,0
