tf,target,edge_sign,is_edge,null,mask_mode,n_targets_of_tf,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
EZH2,CCND1,1,1,real,rna_only,28,0.000425837558499951,0.0003014266646602881,0.000547089960506816,0.4197860962566845,748,-0.05069996183874456
EZH2,CCNE2,1,1,real,rna_only,28,0.0047431491490921626,0.004561074839997453,0.004924427253248523,0.012032085561497326,748,0.5632939297123226
EZH2,CDH1,-1,1,real,rna_only,28,0.0014274970501737668,0.0013289244202299311,0.0015336708389488243,0.1537433155080214,748,0.049130587735805746
EZH2,CDK4,1,1,real,rna_only,28,0.0022961424781530837,0.0021050907635001745,0.0024941380338881543,0.2232620320855615,748,0.3814873955027753
EZH2,CDKN1B,1,1,real,rna_only,28,0.005858731692044293,0.005537388514126186,0.006219676712635986,0.026737967914438502,748,0.016380064427117952
EZH2,CDKN2A,-1,1,real,rna_only,28,0.012568124077272884,0.012310523301887586,0.012824427908296413,0.0,748,0.2881828433685456
EZH2,CHEK1,1,1,real,rna_only,28,0.005260151660413467,0.005105826153928116,0.00541705833740305,0.0053475935828877,748,0.7245596624376173
EZH2,FGFR1,1,1,real,rna_only,28,-0.002596134431875989,-0.002674298417895995,-0.002511248159053802,0.9946524064171123,748,-0.14137920781316796
EZH2,FOXC1,-1,1,real,rna_only,28,0.0025664263840270043,0.002405070848421627,0.0027125633225229245,0.10695187165775401,748,0.11119986285000964
EZH2,GATA3,-1,1,real,rna_only,28,0.00011013638893882715,1.4558486081617643e-05,0.00019643211925178948,0.4532085561497326,748,-0.1891416504569501
EZH2,GSTP1,1,1,real,rna_only,28,-0.0021936592754680465,-0.002311091804364363,-0.002066347994157876,0.9144385026737968,748,0.05293424040650439
EZH2,HOXB13,-1,1,real,rna_only,28,-0.00018983625092189996,-0.00029178594476867,-7.08378100607529e-05,0.5668449197860963,748,0.17974635420838553
EZH2,MMP2,1,1,real,rna_only,28,-0.001293272256466051,-0.0013808269457519719,-0.0012032778165645577,0.8676470588235294,748,-0.23309312874610896
EZH2,MYC,-1,1,real,rna_only,28,0.004371470666022345,0.004162256738390738,0.00459575398024624,0.040106951871657755,748,0.1096842909503116
EZH2,PTEN,1,1,real,rna_only,28,-0.0019506737251588383,-0.0020505508744050353,-0.0018632281779804641,0.9585561497326203,748,-0.19080558900531477
EZH2,RASSF1,1,1,real,rna_only,28,0.00795870115237606,0.007585182502480229,0.008356110122136367,0.008021390374331552,748,0.08146552066486891
EZH2,SFRP1,1,1,real,rna_only,28,0.0071055072201200095,0.006810876793607218,0.00740637158471784,0.004010695187165776,748,-0.01682156134761677
EZH2,SNAI2,-1,1,real,rna_only,28,-0.002602340600622648,-0.0026999161311135993,-0.0025047520866753265,0.9705882352941176,748,-0.15599537867168037
EZH2,TP53,-1,1,real,rna_only,28,0.004340322321212773,0.0041834440578020935,0.0045140998024093375,0.013368983957219251,748,0.06943704126485767
EZH2,TWIST1,-1,1,real,rna_only,28,-0.0014309565322108415,-0.0015361063451136388,-0.0013326100063057436,0.8743315508021391,748,-0.18109180186185295
EZH2,VIM,1,1,real,rna_only,28,-0.002613618305001123,-0.0027151969267817386,-0.0025175827193734237,0.9812834224598931,748,-0.14769200102065372
EZH2,KAT2A,1,1,real,rna_only,28,0.008514401037162984,0.008105219151540834,0.00895518949521899,0.001336898395721925,748,0.16843648126558766
EZH2,CD4,1,1,real,rna_only,28,0.0021963919711310864,0.002017691661249938,0.002367993298360417,0.1443850267379679,748,0.022853772191310327
EZH2,CLEC2B,0,0,real,rna_only,28,-0.0012418417804567375,-0.0013418748614587043,-0.001148482540815551,0.8663101604278075,748,-0.20532042852661225
EZH2,TRPS1,0,0,real,rna_only,28,-0.003207625958565524,-0.0033278520916295603,-0.0030931359186920867,0.9906417112299465,748,0.01811617359680972
EZH2,CYB5R1,0,0,real,rna_only,28,-0.0028768165163204416,-0.00298117494897472,-0.002770072640684092,0.9852941176470589,748,-0.22896146984116378
EZH2,PTPRC,0,0,real,rna_only,28,0.0026283909919474174,0.0024173169721027113,0.0028476296809486173,0.14572192513368984,748,0.07248969799856343
EZH2,S100A10,0,0,real,rna_only,28,-0.002563474835651975,-0.0026678580485920153,-0.0024597610950496127,0.9799465240641712,748,0.14377408536783806
EZH2,ERBB2,0,0,real,rna_only,28,7.263558909277021e-05,-5.203956588704466e-05,0.00019742720923407236,0.5040106951871658,748,-0.09498321853846205
EZH2,BAG1,0,0,real,rna_only,28,0.0025098158806934287,0.002295026838918069,0.0027051731094594723,0.15106951871657753,748,-0.09012788830602743
EZH2,CTHRC1,0,0,real,rna_only,28,-0.002581315600531551,-0.002692536322052697,-0.0024583607666548656,0.9344919786096256,748,0.005381284675481804
EZH2,NRN1,0,0,real,rna_only,28,-0.002770669236463792,-0.00285525745633988,-0.0026867832572476658,0.9946524064171123,748,-0.19552733111752033
EZH2,ESR1,0,0,real,rna_only,28,-0.0007060895750295765,-0.0007981263185901489,-0.0006147875648706564,0.6938502673796791,748,-0.2559931220853083
EZH2,FGF19,0,0,real,rna_only,28,-0.0019264591396279938,-0.0019908609842539575,-0.0018550430671100248,0.9919786096256684,748,-0.1607358016915436
EZH2,POLD2,0,0,real,rna_only,28,-0.0005882556234368532,-0.0007140385986788457,-0.00046858311277596745,0.6243315508021391,748,0.37213517829770637
EZH2,LPL,0,0,real,rna_only,28,-0.002274185275690507,-0.0023705676075427185,-0.0021824122839395645,0.9732620320855615,748,-0.15587761978534817
