tf,target,edge_sign,coexpr__pooled,coexpr__ER_IHC=Negative,coexpr__ER_IHC=Positve
ESR1,CA12,1,0.6688451370008627,0.4491682292808071,0.41270229257366536
ESR1,CBFB,1,-0.39028431549171655,-0.16767768526165197,-0.2408589930267849
MYC,CBFB,1,0.31956659758025996,0.31633406500261096,0.26891877182597307
AR,CCNB1,-1,-0.11525754672015631,-0.20649623014688873,-0.019122572419200137
BRCA1,CCNB1,1,0.44494548880785634,0.24760812453950182,0.5203678976024821
E2F1,CCNB1,1,0.09300050414421573,0.07004755323890713,0.10126906391695081
FOXM1,CCNB1,1,0.6393821269284256,0.4394144137069578,0.6677213213938537
MYBL2,CCNB1,1,0.09768010928649025,0.16532216774144914,0.08139023146969328
MYC,CCNB1,1,-0.004254949006217294,0.12171856300591472,-0.06869993438671701
TP53,CCNB1,-1,-0.08879967323268405,-0.040527622380185056,-0.09029579005754404
E2F4,CCNB1,1,0.02147867294333581,0.07749937413367676,-0.08876022388521475
DNMT3B,CCNB2,1,0.4865397560522275,0.10480517327976477,0.42917112672896657
MYBL2,CCNB2,-1,0.06259612727137244,0.10737877678972482,0.046531343828101396
MYC,CCNB2,1,0.163477826742062,0.337230820132827,0.06902697724104684
TP53,CCNB2,-1,-0.0062179240275288955,0.04991241543875521,0.009648223282566523
E2F4,CCNB2,-1,0.31546599329255,0.21330760972878546,0.13317387208353137
EP300,CCNB2,1,-0.07680998083858813,-0.05410706238493191,-0.08363096504440781
AR,CCND1,1,0.2746232074419428,0.035749114779716575,0.21738125076016082
BRCA1,CCND1,1,0.25228720530875365,0.0496385352949441,0.30454110220682284
DNMT3A,CCND1,-1,0.002191102898374886,-0.11967490632239523,-0.005457865229965993
E2F1,CCND1,1,-0.014691750163634039,-0.062406466525425135,0.014098063617517743
ESR1,CCND1,1,0.51887847049379,0.14790456767527316,0.41231819802631564
EZH2,CCND1,1,-0.06986507200545312,-0.17343140900187637,0.16353035863164295
FOXA1,CCND1,1,0.39025454271605453,0.0688320448107271,0.2752786787623575
FOXM1,CCND1,1,0.02090593899254076,-0.027767732003076456,0.28866269711375364
GATA3,CCND1,1,0.5198124596778592,0.08073312960796725,0.428004058810636
HOXB13,CCND1,-1,-0.0375882738856938,0.05350379719955691,-0.025098677856138403
HTATIP2,CCND1,-1,-0.18759226704341644,-0.10260895349844606,-0.0722885387230346
MYBL2,CCND1,1,-0.02335643091680342,-0.05609981900911888,-0.005867437454141794
MYC,CCND1,1,-0.15031186015367384,-0.053240141116538804,-0.11545024390452684
NCOA3,CCND1,1,0.012107686315624382,-0.040374543451035264,0.10347235479012043
NCOR1,CCND1,1,0.15922093414848798,-0.09290853910052667,0.1433863050098044
PGR,CCND1,1,0.2603762897912645,0.0975285020227661,0.07869375918333
SMAD3,CCND1,1,0.4135836418512079,0.2357043238643598,0.3793225659451708
SMAD4,CCND1,1,-0.058940879455750224,-0.10925981399819974,-0.08043473449747082
TP53,CCND1,-1,0.00455064306958485,0.02205800899347711,-0.012994341159898897
TRPS1,CCND1,1,0.21271576691827812,-0.006402656636629862,0.11464869475343123
BTG2,CCND1,-1,0.04753482696140666,-0.07436671816784443,-0.18976999258916033
HIF1A,CCND1,1,-0.3622756372256296,-0.23785458822963904,-0.3039936820127851
E2F4,CCND1,1,-0.22784155268610973,-0.18665247855338715,-0.08760275721033463
EP300,CCND1,1,-0.028601426204690528,-0.04036322272570409,-0.01973403573843345
E2F1,CCNE2,1,0.07984114687539251,0.05331383332877903,0.07346243673920545
EZH2,CCNE2,1,0.6247513718994236,0.48943482316546133,0.6243866698661723
FOXM1,CCNE2,1,0.6335251441586309,0.37684550603680034,0.6542594995813172
MYC,CDC20,1,0.0432874976294027,0.1388384392043783,-0.06492634497334164
TP53,CDC20,-1,-0.06573947905989644,0.05070020532375925,-0.0692761451646983
AR,CDC6,1,-0.049047933889467245,-0.06578715642822516,0.016378361796556478
E2F1,CDC6,1,0.016912708905456115,-0.11925866911868628,0.038274980701899636
