tf,target,edge_sign,coexpr__pooled,coexpr__INTCLUST=1,coexpr__INTCLUST=10,coexpr__INTCLUST=2,coexpr__INTCLUST=3,coexpr__INTCLUST=4ER+,coexpr__INTCLUST=4ER-,coexpr__INTCLUST=5,coexpr__INTCLUST=6,coexpr__INTCLUST=7,coexpr__INTCLUST=8,coexpr__INTCLUST=9
CNOT7,PMP22,1,0.237916999529452,0.13199558173784978,0.08367439012600303,0.31214027063083666,0.23104775140737932,0.21342474346910423,0.13911164465786313,0.26874301800795386,0.052564780539397137,0.25679445907716325,0.07951444795948306,0.12093411175979984
MYC,RGS2,1,0.335551913724502,0.23787607826635807,0.2552125294060778,0.2596912521440823,0.2860523278772832,0.4365423573721236,0.1761824729891957,0.30157290316814866,0.2932839767318879,0.4316895912593894,0.24375787493311696,0.26993791122231486
PITX2,RGS2,1,0.26653585815879804,0.37447401641068795,0.15438110276819955,0.2702877834953306,0.22043279017727316,0.31930343401183425,0.06439375750300119,0.021363778542383482,0.27038603913273396,0.19702955809189351,0.2996560303186465,0.37498001802532754
MYC,PEX19,-1,-0.021863443536292528,0.05415001051967178,0.1525732332183945,0.11309319611206402,0.07403840561298676,0.21260403327178007,0.13863145258103243,0.1581661378971357,-0.02564780539397144,0.16803726465710664,0.10468168626513033,0.13841163932907052
FOXA1,LOXL2,1,0.022080040156132495,-0.10410530191458026,0.013451065063968289,0.06262626262626263,0.06351038200513667,-0.1050744888838577,-0.0724609843937575,0.0730908440949104,0.12427287149656265,0.03958638181640816,-0.005304776863538967,0.17956630525437867
SMAD3,ITGA11,1,-0.09865013387795239,-0.10937828739743319,0.04287171356344962,-0.2621307413760244,-0.10013561044598387,-0.14279422507403322,-0.4225210084033613,-0.0768824309424839,-0.2386039132734003,-0.20025143919076344,-0.0534388601603516,-0.11512371420628302
MYC,IER3,-1,-0.025810411083956545,0.042749316221333884,0.008312681875206309,0.046388412426148266,0.20967475809746292,0.16189933205237672,0.020600240096038412,0.03515357065465374,0.09553272783394154,-0.003919134619960259,0.12216338703303628,0.05541667921588223
RUNX1,IER3,1,0.06195133969421033,-0.046490680168005755,0.02092109874445681,-0.12582428054126166,0.01586552810859947,0.07016255033636186,0.006770708283313325,-0.17555803060256253,-0.3168206877681393,-0.043147115274400724,-0.03462932552187356,0.07629078070049439
TP53,IER3,1,-0.007136201906094072,-0.0708368398905954,0.07997834416703631,-0.07337526205450733,-0.14982610928993825,-0.02892651396653158,-0.13805522208883553,0.10282430587698455,-0.054204841422524255,-0.19854428658717155,-0.048866439736844514,0.014970843691180227
ESR1,LDLR,1,-0.08695539470549618,0.13983273721859876,0.05309529180496922,0.09472079283400037,-0.032220836524645594,0.06138235588917592,0.006482593037214886,-0.04212440708801587,0.1674532979165103,0.025395114373146347,0.14969370655995473,-0.07658251455519245
TP53,CSNK2A2,1,-0.02585856308699955,-0.055780559646539024,0.056672451214103435,-0.06399847531923003,0.11117624640132041,0.10029544440195419,0.18094071891695382,-0.013278102860086896,-0.022421998942358537,-0.08255302233083682,0.07678440788748797,0.22580032342158532
ESR1,MICB,1,-0.06256933059319687,-0.060435514411950345,0.04141664786826077,-0.11172098341909661,-0.08080117304566369,-0.1168309266242633,0.0022569027611044415,0.19923142231556365,-0.16298254891591749,-0.08911813481611551,0.013842129012054963,-0.029107589658048376
E2F1,DUSP1,1,-0.1138685145662106,-0.09710972017673047,0.002202639622702132,0.08115113398132266,-0.04972472261810915,-0.03429077468544807,-0.17743097238895558,-0.2946378301085839,-0.09735589635113695,-0.032772492372774215,-0.2234270345015322,-0.08510391834084484
MYC,DUSP1,-1,0.3698741005206421,0.4134756995581737,0.21858177078074648,0.5740804269106154,0.42307279047285223,0.4841755975453803,0.39169267707082833,0.45594977434201706,0.5850343733474351,0.5844639168486723,0.41767743230392707,0.44640288020872615
