tf,target,edge_sign,coexpr__pooled,coexpr__CLAUDIN_SUBTYPE=Basal,coexpr__CLAUDIN_SUBTYPE=Her2,coexpr__CLAUDIN_SUBTYPE=LumA,coexpr__CLAUDIN_SUBTYPE=LumB,coexpr__CLAUDIN_SUBTYPE=Normal,coexpr__CLAUDIN_SUBTYPE=claudin-low
EZH2,CDKN1B,1,-0.19188225822654684,0.05135243484492871,-0.14700654745669825,-0.18374507148898742,-0.12614118466586974,-0.31468932906501906,-0.1882147052478871
FOXA1,CDKN1B,1,0.1678460882609405,-0.10630185103880761,0.19206252573397897,0.03291493323964979,0.05539336329389586,0.08185117967332124,0.034681315469920614
FOXM1,CDKN1B,-1,-0.17601601320513302,0.25423223035965564,-0.1099781371782616,-0.1234071075519715,-0.1369127888889231,-0.3179357689576265,-0.17923778733710652
MYC,CDKN1B,-1,0.11236811838985845,0.2686482885704762,0.11394408379744084,0.0976951314698923,0.048353760522903196,0.33389884005365744,0.15644492543215474
PGR,CDKN1B,1,0.21686388388479938,0.04628249968101734,0.20697639851730257,0.08719254495542207,0.15345034175370936,0.08796654304426735,0.05587596007211107
RUNX1,CDKN1B,-1,-0.13298494096092356,-0.2452822226553787,-0.17576508617018985,-0.11306916484058092,-0.19493155411854393,-0.34460800366402383,-0.21972748111877685
SMAD3,CDKN1B,1,-0.03516548626881909,-0.19915219752461374,-0.05673627195323791,-0.06488844489771574,-0.1231722662916158,-0.08588371294832468,-0.08059581541067792
TP53,CDKN1B,1,-0.03677137515510482,-0.019994393531874023,0.017569986372044405,-0.11907504201577021,-0.05552396588315381,0.026568294799968438,-0.08970565403641745
HIF1A,CDKN1B,1,0.19043994280523588,0.3193536686699513,0.14021933438843606,0.2216986414361008,0.32256406149410594,0.3863173676319735,0.23903394613613357
E2F4,CDKN1B,1,-0.17418339865621746,-0.03380365466098079,-0.19751279509008884,-0.15283898770544574,0.005938416230336888,-0.12686100486100518,0.027512326321466506
DNMT3A,CDKN2A,-1,-0.071636636960962,0.11545707284094008,-0.03248161818096403,-0.0522437992444529,-0.07484360608253907,-0.1195575624510384,-0.24363853886741446
DNMT3B,CDKN2A,1,0.07272478346784653,-0.09574812263508287,-0.084413661452444,-0.1492621313776903,0.028422087028319113,-0.17245753266334485,0.30930228841363594
E2F1,CDKN2A,1,0.03635991070682738,0.23177822500034306,-0.01716451740029861,0.012642484087034443,0.005635932961444513,-0.10179535586573082,-0.02593444127592245
ESR1,CDKN2A,1,-0.3081065259297182,-0.11717518404393026,-0.20682617025118938,-0.2873548501089504,-0.11316621951707843,-0.09460288527376823,-0.35017546102756
EZH2,CDKN2A,-1,0.1678446535729301,0.44763729567309757,-0.09791064427882347,-0.1774781690263906,0.033322457482341236,-0.04933736817394529,0.4361699820225927
FOXA1,CDKN2A,1,-0.3055969830996643,-0.26400034563186064,-0.26168884272216375,-0.19045762354344356,-0.19848698132444578,0.025960755071373545,-0.2319396149218359
FOXM1,CDKN2A,-1,0.18285254074785914,0.30695312570661515,-0.07018886664074331,-0.1627697667984908,-0.00605484692698884,0.016318188902006227,0.3997657475416049
GATA3,CDKN2A,1,-0.2623035727327814,-0.08878716420224339,-0.22411255914198785,-0.14242291594611411,-0.04391850891270264,0.07058326872748825,-0.17249519965113277
MYBL2,CDKN2A,1,0.012575649899778739,-0.017297662263554933,-0.050600587261159,-0.017278630358582864,-0.04307390443217136,-0.025660904404895674,0.16058622476820192
MYC,CDKN2A,1,0.13091113189849665,0.217892671301323,0.16443311533154015,0.08096178567639148,-0.0278331367107245,-0.06058167083904875,0.20172424421617893
RUNX1,CDKN2A,1,-0.1925227272717912,-0.27859552808361077,-0.13889045499718927,-0.14291593625351914,-0.1486871236943704,0.10254933253392794,-0.15359974793887515
SMAD3,CDKN2A,1,-0.2181605149163193,-0.33535521195581186,-0.1141696678945675,-0.12835498298356912,-0.03594004878653948,-0.25758062957102257,-0.43967542563854334
TBX3,CDKN2A,-1,-0.214311423369926,-0.15738316329708887,-0.29773011242942554,-0.04483482471947786,-0.059498720156230256,-0.10574491337849513,-0.19787505836353345
TP53,CDKN2A,1,-0.09931731655517452,0.03856607041846495,-0.058388972794220846,-0.18730967472499596,-0.11345052656869418,-0.26173017780011826,0.10369438501880184
TWIST1,CDKN2A,-1,0.15122850517471786,-0.1441545536478439,0.16446386795063822,0.3142759517316763,0.17945165394010143,0.12365289129056511,-0.3279283269671156
ZEB1,CDKN2A,-1,0.0294726802559851,-0.19564765256787123,0.06371145386997369,0.2122591254133779,0.18036463996500834,0.04258676945778212,-0.2660043973707102
CTBP1,CDKN2A,-1,0.008913843519565473,0.043362715379327586,0.15305122930757306,0.023305966901897287,-0.031666199495455086,0.04709233625105086,-0.02593444127592245
TP53,CEP55,-1,-0.0031342434539075367,-0.025801784422474078,0.08748882371365926,0.06851153804615218,-0.03048553976756435,-0.1775191351692575,0.2140715862727146
E2F1,CHEK1,1,0.0693980534553529,-0.06319252147194139,0.020071209398013417,0.014180795105554037,0.15871143276453106,-0.040164128462084746,-0.025564568973193386
EZH2,CHEK1,1,0.6967953063170437,0.46434757796202497,0.451373275290905,0.5072667035084288,0.40336548216900603,0.5791142174599319,0.8447706840998197
FOXM1,CHEK1,1,0.6635744812984656,0.4274573083279772,0.26206812502437343,0.3159786298319572,0.34342803203275823,0.54898603329914,0.853398144702264
